Time,Accel-X (g), Accel-Y (g), Accel-Z (g)
18:20:20,0.980225,-0.213867,0.356201
18:20:20,1.021729,-0.331299,0.358643
18:20:20,1.051025,-0.434082,0.363281
18:20:20,1.07373,-0.533691,0.420898
18:20:20,0.876709,-0.53125,0.327393
18:20:20,0.880615,-0.517334,0.477295
18:20:20,0.738037,-0.48877,0.484131
18:20:20,0.621094,-0.460205,0.496826
18:20:20,0.593994,-0.41748,0.511963
18:20:20,0.585693,-0.374023,0.528809
18:20:20,0.547607,-0.30835,0.531738
18:20:20,1.205811,-0.304932,0.585938
18:20:20,1.418945,-0.265625,0.230469
18:20:20,1.186279,-0.128174,0.1521
18:20:20,0.973877,0.145752,0.550537
18:20:20,0.658447,0.133545,0.508545
18:20:20,0.298828,-0.468994,1.37793
18:20:20,-0.515381,-0.971436,2.029785
18:20:20,-0.306885,-0.452881,1.252197
18:20:20,0.159668,-0.103027,0.887207
18:20:20,0.737793,0.133545,0.858643
18:20:20,1.246094,0.621094,0.232422
18:20:20,1.568604,-0.262451,0.901611
18:20:20,2.768066,-0.280518,2.264648
18:20:20,2.515381,1.554932,1.966064
18:20:20,3.050537,1.378418,2.263428
18:20:20,3.258057,0.706055,1.908936
18:20:20,4.289551,1.635986,0.083984
18:20:20,6.382813,3.098633,1.279541
18:20:20,1.694092,1.292725,-0.391846
18:20:20,2.116211,0.519775,1.305664
18:20:20,1.133789,-0.012939,1.476563
18:20:20,0.531006,-0.102783,1.06958
18:20:20,0.234863,-0.264893,1.202881
18:20:20,0.045654,-0.537598,1.262207
18:20:20,-0.182861,-0.531494,0.429688
18:20:20,-0.292236,-0.55127,0.177002
18:20:20,-0.126465,-0.655029,0.552246
18:20:20,0.059814,-0.582764,0.619141
18:20:20,0.189209,-0.439697,0.451416
18:20:20,0.663818,-0.439941,0.814941
18:20:20,1.310059,-0.475098,0.931152
18:20:20,1.516113,-0.355957,0.416992
18:20:20,1.761963,-0.292236,0.130371
18:20:20,2.068848,-0.337646,0.075684
18:20:20,2.2146,-0.425049,0.010986
18:20:20,2.257568,-0.513672,-0.059082
18:20:20,2.263184,-0.576416,-0.11377
18:20:20,2.342529,-0.655273,0.058838
18:20:20,2.624512,-0.759766,0.346436
18:20:20,2.944336,-0.749023,0.316162
18:20:20,3.061035,-0.523926,-0.001221
18:20:20,3.030029,-0.123291,-0.368896
18:20:20,2.809326,0.423584,-0.867432
18:20:20,2.280762,1.105225,-1.641357
18:20:20,1.662842,1.763916,-2.639648
18:20:20,1.208008,1.894043,-3.312256
18:20:20,1.191406,1.514404,-3.048584
18:20:20,1.536377,1.302002,-2.696533
18:20:20,1.570801,1.22998,-3.106201
18:20:20,1.254883,1.17041,-3.485596
18:20:20,0.341797,0.521973,-3.317139
18:20:20,0.618652,0.150146,-1.406738
18:20:20,4.14502,-0.339111,3.533447
18:20:20,1.692139,-0.581055,2.0354
18:20:20,-0.102295,-0.536621,0.170654
18:20:20,0.32959,-1.285889,1.029053
18:20:20,0.147949,-1.030029,1.490479
18:20:20,0.415039,-0.813965,0.854004
18:20:20,1.803711,-1.197266,1.179688
18:20:20,1.49292,-0.969727,-0.335449
18:20:20,3.704834,-0.936523,-0.266602
18:20:20,3.727783,-0.277832,-0.853516
18:20:20,1.908936,0.282959,-1.106201
18:20:20,1.599121,0.195801,0.150879
18:20:20,1.18335,0.079346,0.643799
18:20:20,0.473877,0.0979,0.491943
18:20:20,0.440186,0.153809,0.70166
18:20:20,0.479492,0.254883,0.868896
18:20:20,0.349609,0.352783,0.821045
18:20:20,0.229248,0.425049,0.686035
18:20:20,0.159912,0.50293,0.608154
18:20:20,0.153809,0.578369,0.660156
18:20:20,0.215088,0.619385,0.686035
18:20:20,0.342529,0.607422,0.650635
18:20:20,0.476563,0.583008,0.626953
18:20:20,0.574463,0.533936,0.558838
18:20:20,0.665771,0.487061,0.509521
