Time,Accel-X (g), Accel-Y (g), Accel-Z (g)
16:44:19,2.908936,0.160156,-1.192871
16:44:19,1.062012,0.327637,-2.424316
16:44:19,-0.063965,0.536865,-2.523682
16:44:19,0.202148,1.406006,-3.006592
16:44:19,1.978516,0.443604,-3.866943
16:44:19,2.061035,-0.564209,-6.381104
16:44:19,0.393066,-0.705811,-7.252197
16:44:19,-1.09668,-0.240967,-5.445068
16:44:19,0.468262,-1.153809,-1.695801
16:44:19,6.233154,-3.120361,2.03833
16:44:19,5.852539,-2.136475,2.255127
16:44:19,0.47876,-0.259277,0.841309
16:44:19,0.285156,-0.335449,0.353516
16:44:19,1.528809,-0.222656,1.720215
16:44:19,2.334473,-0.05542,3.058838
16:44:19,0.628418,0.236572,-0.07251
16:44:19,0.664063,0.832275,-0.764893
16:44:19,2.359375,1.730469,-0.150635
16:44:19,1.329346,1.217285,-0.588867
16:44:19,1.094971,0.567871,-0.318848
16:44:19,1.344727,0.111816,0.404053
16:44:19,0.916748,-0.278564,0.552734
16:44:19,0.652344,-0.394531,0.470215
16:44:19,0.747559,-0.467041,0.621094
16:44:19,0.80249,-0.496338,0.702393
16:44:19,0.642334,-0.542969,0.641846
16:44:19,0.59082,-0.556152,0.698975
16:44:19,0.620361,-0.485107,0.678711
16:44:19,0.730225,-0.337646,0.55957
16:44:19,0.730957,-0.231445,0.491943
16:44:19,0.863037,-0.077148,0.494873
16:44:19,0.998291,0.153076,0.365479
16:44:19,0.99707,0.318848,0.196045
16:44:19,1.160645,0.563965,0.19458
16:44:19,1.075195,0.691406,0.112061
16:44:19,0.83374,0.504639,0.215576
16:44:19,0.796387,0.271484,0.537598
16:44:19,0.691162,0.169922,0.606689
16:44:19,0.547119,0.138916,0.540039
16:44:19,0.584229,0.141602,0.590576
16:44:19,0.625488,0.168945,0.593506
16:44:19,0.652588,0.199951,0.53833
16:44:19,0.750977,0.19873,0.508545
16:44:19,0.791992,0.155029,0.425049
16:44:19,0.808105,0.117432,0.377197
16:44:19,0.85791,0.096436,0.374023
16:44:19,0.905762,0.03125,0.402832
16:44:19,0.934082,-0.036133,0.461426
16:44:19,0.866943,-0.138428,0.469482
16:44:19,0.838623,-0.175537,0.471436
16:44:19,0.795898,-0.187256,0.518799
16:44:19,0.812256,-0.171875,0.577637
16:44:19,0.8125,-0.141602,0.621338
16:44:19,0.813477,-0.142334,0.666504
16:44:19,0.787598,-0.12085,0.697266
16:44:19,0.885254,-0.033447,0.730225
16:44:19,1.086914,0.040283,0.721924
16:44:19,0.983643,-0.067139,0.807617
16:44:19,0.777588,-0.103271,0.903564
16:44:19,0.817627,-0.110596,0.934326
16:44:19,1.424072,0.459229,1.399658
16:44:19,2.260254,1.21582,2.058105
16:44:19,2.821777,1.675293,1.741211
16:44:19,2.800781,2.633301,0.554688
16:44:19,2.163086,3.699951,-0.290527
16:44:19,4.275391,3.368164,0.662598
16:44:19,6.542725,2.792969,1.406006
16:44:19,3.39917,1.994385,0.330322
16:44:19,-0.056152,0.673828,-0.394531
16:44:19,0.247803,0.526367,0.238525
16:44:19,0.697021,0.741455,1.25415
16:44:19,0.071289,0.743896,1.77832
16:44:19,-1.515381,0.695068,1.834717
16:44:19,-1.95459,0.920898,0.765625
16:44:19,-0.469727,1.740723,0.556396
16:44:19,0.930908,2.209717,0.963623
16:44:19,0.839844,1.406006,0.127441
16:44:19,0.734131,0.733887,0.265869
16:44:19,0.833984,0.413086,0.628906
16:44:19,0.874756,0.231201,0.702881
16:44:19,0.828857,0.112793,0.610107
16:44:19,0.829834,0.085693,0.657471
16:44:19,1.02002,0.207764,0.833252
16:44:19,1.442627,0.521484,0.970947
16:44:19,1.818604,0.85083,0.886475
16:44:19,1.853027,0.909668,0.616943
16:44:19,1.720703,0.766846,0.451172
16:44:19,2.021729,0.557373,0.210449
16:44:19,2.31543,0.573975,0.498291
16:44:19,3.033936,0.865234,0.939697
16:44:19,3.752441,-0.383057,0.905273
16:44:19,4.221191,-1.527344,-1.543701
16:44:19,2.556885,-1.32666,-5.251465
16:44:19,1.904053,-1.210938,-6.752686
16:44:19,1.829102,-0.264893,-5.461182
16:44:19,0.18042,0.616699,-3.602539
16:44:19,-0.401123,0.366699,-2.702148
16:44:19,-0.072266,0.438965,-2.742188
16:44:19,0.129395,0.389648,-3.41333
16:44:19,-0.128662,0.252686,-3.565674
16:44:20,0.640381,-0.254883,-1.880615
16:44:20,3.213135,-0.844727,0.479736
16:44:20,3.464355,-0.85083,1.044189
16:44:20,2.305176,-0.644531,1.588867
16:44:20,1.725586,-0.73584,1.870361
16:44:20,0.928467,-0.710449,1.107666
16:44:20,1.340332,-0.878174,1.303223
