Time,Accel-X (g), Accel-Y (g), Accel-Z (g)
15:26:51,1.234619,1.076904,0.883301
15:26:51,1.184326,1.1875,0.76001
15:26:51,1.32373,1.511963,0.793945
15:26:51,1.798096,1.971436,1.080566
15:26:51,2.302246,2.379883,1.27002
15:26:51,2.283936,2.962646,0.369873
15:26:51,1.601318,3.349365,-1.584717
15:26:51,0.830322,2.905762,-3.160156
15:26:51,0.588623,1.8479,-3.931641
15:26:51,0.570068,0.577881,-4.746582
15:26:51,-1.123047,-0.579834,-6.685059
15:26:51,-1.267334,-1.650146,-7.773438
15:26:51,6.020996,-2.476074,-3.633057
15:26:51,7.643311,-2.215332,-0.075439
15:26:51,2.124268,-0.638428,-0.799316
15:26:51,-0.324463,-1.306885,-0.34082
15:26:51,-0.657959,-7.963379,7.999756
15:26:51,1.560303,-0.607178,2.522217
15:26:51,-0.156982,0.666504,-0.681641
15:26:51,2.158691,3.13916,-1.553467
15:26:51,1.398193,2.942383,-1.983643
15:26:51,1.218994,1.681152,-0.657715
15:26:51,1.104248,0.525391,0.538818
15:26:51,0.791992,-0.136963,1.112793
15:26:51,0.52417,-0.405518,1.073975
15:26:51,0.262451,-0.489258,0.71582
15:26:51,0.291748,-0.525879,0.857178
15:26:51,0.392334,-0.556641,1.076172
15:26:51,0.3479,-0.454834,0.906738
15:26:51,0.341064,-0.28418,0.784912
15:26:51,0.406494,-0.153076,0.78833
15:26:51,0.450928,-0.023193,0.722656
15:26:51,0.544189,0.116699,0.675537
15:26:51,1,0.516846,0.713379
15:26:51,1.15625,0.937256,0.371826
15:26:51,0.888184,1.006836,-0.051758
15:26:51,0.937988,0.861084,0.20874
15:26:51,0.769775,0.465576,0.55957
15:26:51,0.593262,0.165527,0.724609
15:26:51,0.536865,0.01416,0.813721
15:26:51,0.490967,-0.05249,0.771973
15:26:51,0.503906,-0.083984,0.752197
15:26:51,0.53833,-0.075684,0.780762
15:26:51,0.592285,-0.035889,0.743896
15:26:51,0.714355,0.077881,0.696777
15:26:51,0.798584,0.254883,0.621094
15:26:51,0.797607,0.328857,0.500488
15:26:51,0.756836,0.218994,0.583008
15:26:51,0.666504,0.040771,0.687988
15:26:51,0.63501,-0.091553,0.77124
15:26:51,0.560547,-0.147705,0.797607
15:26:51,0.523682,-0.188721,0.786621
15:26:51,0.56958,-0.165771,0.774902
15:26:51,0.631348,-0.081055,0.732666
15:26:51,0.718994,0.010986,0.709229
15:26:51,0.729004,0.056641,0.674316
15:26:51,0.684326,0.04126,0.672852
15:26:51,0.556396,-0.138428,0.819092
15:26:51,0.222656,-0.320557,0.939697
15:26:51,1.284668,-0.226074,0.929443
15:26:51,1.335205,-0.264404,0.549072
15:26:51,0.181152,-0.346924,0.622559
15:26:51,0.378906,-0.07666,1.237061
15:26:51,0.775635,0.6604,1.088379
15:26:51,1.098145,1.328613,0.676025
15:26:51,0.933105,1.156982,0.89917
15:26:51,1.259277,1.353516,2.023438
15:26:51,1.280762,1.525146,2.765381
15:26:51,0.843994,1.673828,1.558105
15:26:51,1.258545,2.295654,1.035156
15:26:51,1.52417,2.812744,1.576416
15:26:51,1.436523,2.589111,2.188232
