Time,Accel-X (g), Accel-Y (g), Accel-Z (g)
17:25:00,0.34375,-0.520264,-0.186035
17:25:00,0.33374,-1.877197,1.982422
17:25:00,3.197266,-2.864014,5.609375
17:25:00,2.486084,-1.730469,1.982422
17:25:00,1.095215,-1.044922,-2.369629
17:25:00,4.589844,-1.517334,-1.745361
17:25:00,4.456543,-1.036377,-0.810547
17:25:00,1.167725,-0.430176,-0.146973
17:25:00,0.922363,-0.462646,0.80249
17:25:00,0.396729,-0.246338,0.632568
17:25:00,-0.064941,-0.065918,0.706055
17:25:00,-0.359619,0.02832,1.097168
17:25:00,-0.321777,0.116455,1.185547
17:25:00,-0.004395,0.296143,0.831787
17:25:00,0.532471,0.481689,0.549805
17:25:00,0.919434,0.663574,0.570068
17:25:00,0.976807,0.699707,0.334229
17:25:00,0.992432,0.567383,0.427979
17:25:00,0.691406,0.300537,0.576172
17:25:00,0.476807,0.10791,0.664307
17:25:00,0.474609,-0.044189,0.759766
17:25:00,0.580078,-0.155762,0.756836
17:25:00,0.608887,-0.220459,0.712891
17:25:00,0.607666,-0.279541,0.67041
17:25:00,0.623535,-0.341797,0.707275
17:25:00,0.614014,-0.390625,0.729736
17:25:00,0.599121,-0.437744,0.680908
17:25:00,0.640137,-0.477539,0.62915
17:25:00,0.718018,-0.486816,0.567383
17:25:00,0.790771,-0.486572,0.524658
17:25:00,0.843506,-0.484131,0.562988
17:25:00,0.828125,-0.447754,0.562256
17:25:00,0.765381,-0.353027,0.503662
17:25:00,0.754639,-0.254639,0.517822
17:25:00,0.757324,-0.18042,0.546631
17:25:00,0.726318,-0.110107,0.570313
17:25:00,0.625488,-0.048584,0.61499
17:25:00,0.729492,-0.001709,0.6875
17:25:00,1.239258,0.045166,0.64917
17:25:00,1.13501,0.09668,0.36377
17:25:00,0.384033,0.057617,0.519043
17:25:00,0.185059,0.061768,0.772949
17:25:00,0.160156,0.094971,1.095215
17:25:00,0.388916,0.24585,1.422607
17:25:00,0.540039,0.409912,1.087402
17:25:00,0.959229,0.095947,1.782227
17:25:00,0.391357,0.163574,1.12793
17:25:00,0.979248,0.507568,1.077393
17:25:00,1.608154,0.64917,1.156738
17:25:00,2.1875,0.652344,1.423828
17:25:00,3.534912,0.934814,0.995605
17:25:00,4.180664,0.716797,-1.950684
17:25:00,7.542969,0.352783,1.847168
17:25:00,7.697266,0.206543,1.129395
17:25:00,3.385986,-0.051025,1.107178
17:25:00,1.176025,-0.137695,1.531738
17:25:00,0.702881,0.046631,1.325439
17:25:00,0.195801,0.299561,0.787842
17:25:00,-0.120117,0.484619,0.520508
17:25:00,-0.207031,0.682861,0.502686
17:25:00,-0.234375,0.873291,0.392822
17:25:00,-0.296631,1.013428,0.384277
17:25:00,-0.318604,1.115234,0.431641
17:25:00,-0.086182,1.08374,0.479492
17:25:00,0.299561,0.899414,0.664307
17:25:00,0.581787,0.707275,0.780762
17:25:00,0.788086,0.598877,0.766602
17:25:00,1.052979,0.533936,0.777344
17:25:00,1.418701,0.488525,0.755371
17:25:00,1.814453,0.480469,0.622314
17:25:00,2.30542,0.429688,0.577881
17:25:00,2.737061,0.265869,0.5354
17:25:00,3.049805,0.035156,0.14917
17:25:00,2.921143,-0.148926,-0.260254
17:25:00,3.216309,-0.252441,-0.22583
17:25:00,3.236572,-0.185303,-0.758789
17:25:00,3.412842,-0.055664,-1.061035
17:25:00,3.608643,0.156738,-1.418945
17:25:00,3.456543,0.463623,-2.175537
17:25:00,3.281738,0.762207,-2.770752
17:25:00,2.959961,0.984131,-3.627441
17:25:00,2.255859,0.867188,-3.942139
17:25:00,1.679199,0.666016,-3.647461
17:25:00,1.545654,0.353027,-3.325928
17:25:00,2.097168,0.033691,-2.344482
17:25:00,1.618164,0.345215,-3.084717
17:25:00,-0.098389,0.627686,-3.810791
17:25:00,1.075928,0.172119,0.689941
17:25:00,1.681641,-1.145264,2.354248
17:25:00,0.599365,-1.919434,0.10376
17:25:00,4.854736,-4.822754,2.573486
17:25:00,5.127441,-4.72168,0.848633
17:25:00,1.670654,-1.386475,-3.244629
17:25:00,3.221436,-1.46582,-0.243896
17:25:00,2.023682,-0.875732,0.796875
17:25:00,0.921387,-0.286621,0.222168
17:25:00,0.802246,-0.018311,0.220459
17:25:00,0.722168,0.150635,0.385254
17:25:00,0.580078,0.25,0.486084
17:25:00,0.452881,0.344482,0.59668
17:25:00,0.369629,0.488281,0.705566
17:25:01,0.304688,0.631836,0.716309
17:25:01,0.31958,0.713867,0.669189
17:25:01,0.430664,0.763916,0.668213
17:25:01,0.562988,0.655273,0.577637
17:25:01,0.623047,0.451416,0.560791
17:25:01,0.625977,0.227783,0.618896
17:25:01,0.612061,0.05542,0.648438
17:25:01,0.595459,-0.057861,0.708984
17:25:01,0.593262,-0.139893,0.738525
17:25:01,0.581543,-0.191895,0.705566
17:25:01,0.6604,-0.224365,0.644287
17:25:01,0.706055,-0.249512,0.578369
17:25:01,0.763916,-0.306152,0.629639
17:25:01,0.78833,-0.348633,0.603516
17:25:01,0.762207,-0.374512,0.52124
17:25:01,0.796143,-0.416748,0.46875
17:25:01,0.850098,-0.461914,0.478271
17:25:01,0.885254,-0.478516,0.577637
17:25:01,0.828125,-0.409668,0.593262
17:25:01,0.734863,-0.298828,0.532959
17:25:01,0.736328,-0.200928,0.531738
17:25:01,0.749512,-0.093262,0.477783
17:25:01,0.759277,-0.018066,0.401855
17:25:01,0.745605,0.014648,0.440674
17:25:01,1.002441,0.004883,0.548584
17:25:01,1.530273,-0.032959,0.508789
17:25:01,1.052734,-0.05542,0.281006
17:25:01,0.610596,-0.143799,0.552002
17:25:01,0.473389,-0.06543,0.729736
17:25:01,0.164551,-0.027344,0.929199
17:25:01,0.096436,-0.031006,1.143555
17:25:01,0.261719,-0.032471,1.201416
17:25:01,0.525635,-0.077637,1.077881
17:25:01,1.250244,-0.101074,1.243896
17:25:01,0.505859,0.080322,0.799316
17:25:01,0.786133,0.53833,1.268066
17:25:01,0.911377,0.351318,0.827148
17:25:01,2.527588,0.359375,1.095947
17:25:01,1.44458,0.122314,-0.246338
17:25:01,5.26001,1.031006,-0.071289
17:25:01,7.895508,1.378906,-0.793945
17:25:01,7.999756,1.176514,0.536621
17:25:01,5.027832,0.457764,1.055908
17:25:01,1.501709,0.020752,1.025635
17:25:01,0.797852,0.093018,1.333496
17:25:01,0.38501,0.276123,1.121582
17:25:01,-0.049805,0.475098,0.549316
17:25:01,-0.109863,0.903809,0.294189
17:25:01,0.172852,1.622559,0.278809
17:25:01,0.05957,1.816406,-0.174561
17:25:01,-0.412598,1.301514,-0.171875
17:25:01,-0.324951,0.848145,0.599609
17:25:01,-0.118652,0.489502,0.674316
17:25:01,0.065186,0.307861,0.473389
17:25:01,0.281738,0.274414,0.599365
17:25:01,0.607178,0.2229,0.853027
17:25:01,1.021729,0.216309,0.967529
17:25:01,1.432373,0.25293,0.722168
17:25:01,2.021484,0.390869,0.368164
17:25:01,2.644775,0.389648,0.109619
17:25:01,3.179443,0.046143,0.083496
17:25:01,2.965332,-0.366211,-0.34082
17:25:01,2.24585,-0.578613,-0.134521
17:25:01,2.696045,-0.730225,0.228516
17:25:01,2.784424,-0.479736,-0.60083
17:25:01,3.324707,-0.26001,-0.880859
17:25:01,3.65918,0.090332,-1.407227
17:25:01,3.559326,0.476074,-2.117432
17:25:01,3.135254,0.755615,-2.692627
17:25:01,2.66748,0.985107,-3.344482
17:25:01,2.089355,1.021484,-3.72583
17:25:01,1.535156,0.816406,-3.459717
17:25:01,1.61792,0.670654,-3.157715
17:25:01,2.233154,0.351807,-2.57959
17:25:01,1.907959,0.354248,-3.131104
17:25:01,0.19873,0.531006,-3.828125
17:25:01,0.503906,0.116943,-0.396484
17:25:01,1.824463,-0.843994,2.860596
17:25:01,0.369873,-1.420166,0.503418
17:25:01,2.720947,-3.524902,2.320068
17:25:01,6.687744,-5.252441,4.942139
17:25:01,2.187012,-1.853027,-3.213135
17:25:01,1.475342,-0.916748,-3.241211
17:25:01,4.160889,-1.266113,1.493164
17:25:01,1.033447,-0.374756,0.073975
17:25:01,0.493164,-0.085693,-0.20166
17:25:01,0.79541,0.085205,0.622559
17:25:01,0.514648,0.233154,0.567627
17:25:01,0.143555,0.277832,0.63501
17:25:01,-0.04834,0.489502,0.78418
17:25:01,0.054688,0.648926,0.84668
17:25:01,0.295898,0.829102,0.642578
17:25:01,0.647461,0.943115,0.52832
17:25:01,0.809082,0.81958,0.451904
17:25:01,0.754639,0.517822,0.506836
17:25:01,0.697998,0.226563,0.606934
17:25:01,0.665527,0.005127,0.62793
17:25:01,0.629395,-0.137939,0.708008
17:25:01,0.629395,-0.225098,0.762451
17:25:01,0.657959,-0.294922,0.703613
17:25:02,0.691895,-0.318359,0.640625
17:25:02,0.717529,-0.364502,0.65625
17:25:02,0.71582,-0.406006,0.675049
17:25:02,0.686768,-0.409912,0.673828
17:25:02,0.65625,-0.400391,0.667969
17:25:02,0.668457,-0.383057,0.648682
17:25:02,0.687012,-0.369385,0.590576
17:25:02,0.701172,-0.346191,0.526123
17:25:02,0.756592,-0.319092,0.499756
17:25:02,0.792969,-0.30835,0.480713
17:25:02,0.799072,-0.283936,0.480713
17:25:02,0.796143,-0.233154,0.458984
17:25:02,0.787598,-0.190186,0.464844
17:25:02,0.877441,-0.168701,0.560547
17:25:02,1.19043,-0.167969,0.584473
17:25:02,1.080078,-0.132324,0.375977
17:25:02,0.824951,-0.092041,0.472656
17:25:02,0.61792,-0.108643,0.688477
17:25:02,0.65332,-0.077393,0.876221
17:25:02,0.22168,-0.000732,0.870117
17:25:02,-0.013672,-0.048584,1.056641
17:25:02,0.092041,-0.006104,0.968994
17:25:02,0.817627,0.531982,0.873291
17:25:02,1.074951,0.550049,1.219238
17:25:02,0.439697,0.302979,1.264893
17:25:02,0.750977,0.581787,1.384033
17:25:02,1.28125,0.60376,1.281006
17:25:02,1.973633,0.523926,1.233154
17:25:02,1.555664,0.260986,1.196289
17:25:02,2.571533,0.536133,-1.302002
17:25:02,6.634033,1.82666,0.290039
17:25:02,7.999756,1.101807,-0.202393
17:25:02,5.545654,-0.095947,-0.14502
17:25:02,1.872314,-0.048096,1.969482
17:25:02,0.999268,0.047119,1.245117
17:25:02,0.518311,0.308838,0.693848
17:25:02,0.170654,0.420898,0.533691
17:25:02,-0.11792,0.411865,0.605469
17:25:02,-0.268311,0.597168,0.351807
17:25:02,-0.401855,0.860596,0.113037
17:25:02,-0.677979,1.018799,0.281494
17:25:02,-0.753906,1.038574,0.560791
17:25:02,-0.290039,1.087158,0.467285
17:25:02,0.337891,1.022461,0.818848
17:25:02,0.914551,1.105713,1.066162
17:25:02,1.034912,0.966797,0.63501
17:25:02,1.188477,0.817383,0.499268
17:25:02,1.530518,0.656494,0.640381
17:25:02,1.809814,0.506836,0.594482
17:25:02,2.451416,0.458496,0.648926
17:25:02,3.192383,0.451416,0.304443
17:25:02,4.088623,0.01123,-0.521484
17:25:02,3.029053,-0.259521,-0.935791
17:25:02,2.727051,-0.411133,-0.398682
17:25:02,3.111572,-0.270996,-0.602051
17:25:02,3.35791,0.129883,-1.376953
17:25:02,3.11499,0.681152,-1.937744
17:25:02,2.817383,1.192383,-2.161377
17:25:02,2.677979,1.515137,-2.700439
17:25:02,2.56958,1.486816,-3.588867
17:25:02,2.213379,1.03418,-3.811768
17:25:02,1.917236,0.435303,-3.243652
17:25:02,2.368896,0.033691,-2.900635
17:25:02,2.648682,-0.164063,-2.413086
17:25:02,0.955811,0.056152,-2.294922
17:25:02,-0.373535,0.346924,-1.561035
17:25:02,0.870117,-0.070068,1.469482
17:25:02,0.764893,-1.220215,2.287598
17:25:02,-0.710938,-2.231445,0.589111
17:25:02,2.038574,-2.523926,2.501221
17:25:02,6.181152,-3.685303,5.123535
17:25:02,2.285889,-1.060303,-2.906738
17:25:02,3.284424,-0.429932,-4.30835
17:25:02,5.380371,-0.529785,0.830566
17:25:02,1.279053,-0.168457,-0.721191
17:25:02,0.679443,-0.200684,0.180176
17:25:02,0.613037,-0.095703,0.822998
17:25:02,0.26416,0.053955,0.768066
17:25:02,-0.09082,0.099365,0.789795
17:25:02,-0.234375,0.197266,0.848389
17:25:02,-0.354004,0.287109,0.9104
17:25:02,0.010742,0.518311,0.843994
17:25:02,0.428223,0.695313,0.748047
17:25:02,0.648682,0.759033,0.552979
17:25:02,0.764404,0.65332,0.522217
17:25:02,0.799316,0.456787,0.56543
17:25:02,0.737793,0.258301,0.589111
17:25:02,0.67627,0.093262,0.653076
17:25:02,0.619629,0.004883,0.718018
17:25:02,0.567627,-0.054199,0.758545
17:25:02,0.5625,-0.0896,0.77124
17:25:02,0.585693,-0.110352,0.7146
17:25:02,0.63916,-0.127441,0.647217
17:25:02,0.72998,-0.128174,0.643555
17:25:02,0.772949,-0.150146,0.610596
17:25:02,0.783447,-0.190674,0.557129
17:25:02,0.812012,-0.229248,0.571777
17:25:02,0.77002,-0.240479,0.575684
17:25:02,0.739746,-0.254395,0.636963
17:25:02,0.708252,-0.240234,0.641602
17:25:03,0.686768,-0.170166,0.646484
17:25:03,0.702881,-0.091309,0.669678
17:25:03,0.684814,-0.003418,0.615967
17:25:03,0.671143,0.05127,0.560059
17:25:03,0.671143,0.078857,0.579346
17:25:03,0.64209,0.093262,0.639893
17:25:03,0.583984,0.094482,0.612549
17:25:03,0.423828,0.089355,0.554688
17:25:03,1.763184,-0.045654,0.956299
17:25:03,1.395996,-0.080811,0.380859
17:25:03,0.236816,0.035645,0.109375
17:25:03,0.278809,0.18457,0.861816
17:25:03,0.375977,0.286133,1.386963
17:25:03,0.031006,-0.421875,2.3479
17:25:03,0.541748,-0.214111,1.843018
17:25:03,0.900146,0.495117,0.782227
17:25:03,1.67749,0.658936,0.731445
17:25:03,2.145508,0.450928,0.670654
17:25:03,2.016357,0.158691,1.303223
17:25:03,3.187012,0.276611,-0.249756
17:25:03,6.758057,2.3396,-0.087158
17:25:03,7.587158,2.329346,0.948242
17:25:03,4.843018,0.195313,-0.57373
17:25:03,3.531982,0.586426,0.63208
17:25:03,2.020752,0.418701,0.895508
17:25:03,0.927979,0.355957,0.490479
17:25:03,0.598145,0.509521,0.321533
17:25:03,0.309814,0.721191,0.121582
17:25:03,-0.052002,0.846924,-0.034668
17:25:03,-0.317383,0.80249,-0.071777
17:25:03,-0.462158,0.79834,-0.019043
17:25:03,-0.734375,0.990234,0.264893
17:25:03,-1.005859,1.079834,0.565186
17:25:03,-0.457031,1.014648,0.32959
17:25:03,0.182861,0.979004,0.71582
17:25:03,0.950195,1.22583,1.070557
17:25:03,1.078857,1.135254,0.619873
17:25:03,1.185059,0.989746,0.439697
