Time,Accel-X (g), Accel-Y (g), Accel-Z (g)
18:06:39,1.613525,1.391602,0.990479
18:06:39,0.398438,0.15332,1.041016
18:06:39,0.018066,0.218506,0.343018
18:06:39,-0.733643,0.44873,-0.359131
18:06:39,-1.231445,0.496094,-0.077393
18:06:39,-0.766846,0.541992,0.495361
18:06:39,0.883789,1.598389,0.959961
18:06:39,1.396484,2.091797,0.049561
18:06:39,0.661865,1.531494,-1.014893
18:06:39,0.6875,1.068848,-0.642822
18:06:39,0.888916,0.662598,-0.06958
18:06:39,0.750977,0.27124,0.084473
18:06:39,0.936768,0.152344,0.280029
18:06:39,1.232666,0.104492,0.259277
18:06:39,1.398682,-0.009033,0.051025
18:06:39,1.499756,-0.111816,-0.021729
18:06:39,2.508545,-0.584961,-0.101318
18:06:39,3.115234,-1.012451,-0.577881
18:06:39,2.075684,-0.772705,-0.706543
18:06:39,2.592285,-0.900391,0.126953
18:06:39,2.376953,-0.600098,-0.117676
18:06:39,2.832764,-0.215576,-0.883789
18:06:39,3.398193,-0.070801,-1.728271
18:06:39,2.916992,0.192139,-1.916016
18:06:39,2.356445,0.558105,-1.933594
18:06:39,1.679443,0.987061,-2.45459
18:06:39,1.143066,1.232178,-3.140381
18:06:39,1.359619,0.888428,-3.281494
18:06:39,1.320313,0.535645,-3.215332
18:06:39,1.121582,0.231201,-2.901123
18:06:39,0.977783,0.040283,-2.568115
18:06:39,-0.333984,0.039551,-2.086914
18:06:39,-1.101074,0.482178,-2.3479
18:06:39,-0.622314,0.513916,-1.176758
18:06:39,1.483887,-0.125732,1.700439
18:06:39,2.61084,-2.040527,2.282959
18:06:39,0.740234,-2.260254,-0.922607
18:06:39,3.527344,-3.778809,-1.770264
18:06:39,6.789551,-4.945557,-1.219482
18:06:39,4.287598,-3.220215,-0.536865
18:06:39,1.009033,-1.173096,-0.156982
18:06:39,0.610352,-0.445313,0.399902
18:06:39,1.035156,-0.11499,0.888428
18:06:39,1.107666,0.349609,0.434814
18:06:39,1.118896,1.139893,-0.263916
18:06:39,0.935303,1.676758,-0.484619
18:06:39,0.625488,1.270752,0.064209
18:06:39,0.487793,0.641602,0.744141
18:06:39,0.341797,0.270996,0.936035
18:06:39,0.293945,0.145996,0.766602
18:06:39,0.335449,0.047607,0.510254
18:06:39,0.507813,0.001709,0.521484
18:06:39,0.761475,-0.020996,0.591309
18:06:39,1.062012,-0.036377,0.577637
18:06:39,1.195557,-0.067627,0.402588
18:06:39,0.904297,-0.097412,0.238037
18:06:39,0.644775,-0.125732,0.498535
18:06:39,0.5625,-0.125,0.702637
18:06:39,0.56958,-0.110352,0.734375
18:06:39,0.787109,-0.101074,0.7229
18:06:39,0.95874,-0.005615,0.445068
18:06:39,0.933838,0.12207,0.303711
18:06:39,0.892822,0.182129,0.296387
18:06:39,0.917969,0.085449,0.489014
18:06:39,0.800537,0.055664,0.560303
18:06:39,0.818115,0.080566,0.510986
18:06:39,0.925049,0.051025,0.445801
18:06:39,0.98999,0.013916,0.364014
18:06:39,0.963623,-0.013672,0.386963
18:06:39,0.845947,-0.125977,0.492188
18:06:39,0.82251,-0.185303,0.635498
18:06:39,0.824463,-0.171875,0.661621
18:06:39,0.829834,-0.179443,0.630615
18:06:39,0.878174,-0.150146,0.56543
18:06:39,0.848633,-0.080322,0.578369
18:06:39,0.866943,-0.012939,0.687744
18:06:39,0.870117,0.01416,0.678223
18:06:39,0.7146,0.071289,0.747314
18:06:39,0.51416,0.119141,0.921143
18:06:39,0.333984,-0.165283,1.235352
18:06:39,0.517334,-0.477295,1.428711
18:06:39,0.233398,-0.71582,1.310547
18:06:39,0.260254,-0.918213,1.515137
18:06:39,0.847168,-0.577393,1.575684
18:06:39,0.295166,0.077881,1.192139
18:06:39,0.335205,0.094971,0.557373
18:06:39,0.984131,0.022217,0.563965
18:06:39,0.905029,-0.232422,0.093506
18:06:39,0.912109,-0.23999,0.517578
18:06:39,7.487549,-0.560059,2.172607
18:06:39,7.999756,0.200195,-0.199707
18:06:39,7.181641,2.348877,-2.073975
18:06:39,4.97168,3.634521,-0.500977
18:06:39,2.174072,1.943115,0.741943
18:06:39,0.666748,0.238525,0.97998
18:06:39,0.295654,0.128174,0.709961
18:06:39,-0.162354,0.38916,-0.140137
18:06:39,-0.881348,0.544678,-0.605957
18:06:39,-0.973389,0.552979,-0.205811
18:06:39,0.719727,1.888428,0.726807
18:06:40,1.236572,2.463867,-0.081055
18:06:40,0.454834,1.711182,-1.191895
18:06:40,0.572266,1.163818,-0.480713
18:06:40,0.71167,0.759033,0.17041
18:06:40,0.623047,0.574707,0.137451
18:06:40,0.901855,0.675781,0.205078
18:06:40,1.073242,0.763184,0.016357
18:06:40,1.10498,0.661621,-0.219482
18:06:40,1.319336,0.506592,-0.118164
18:06:40,1.679688,0.338135,0.154785
18:06:40,2.308594,0.219971,0.27832
18:06:40,3.07251,0.249023,0.020996
18:06:40,2.481201,0.281494,-0.333252
18:06:40,3.143066,0.609619,-0.253174
18:06:40,2.753662,0.233643,-0.776611
18:06:40,3.005859,-0.031494,-0.974609
18:06:40,3.421387,-0.320313,-1.172852
18:06:40,2.967529,-0.361816,-1.691162
18:06:40,2.121826,-0.08252,-2.242676
18:06:40,1.265625,0.091309,-2.570557
18:06:40,0.525635,0.184814,-3.020752
18:06:40,0.495361,0.309814,-3.329346
18:06:40,1.200195,0.23291,-3.490479
18:06:40,-0.152832,0.119141,-3.372803
18:06:40,-0.679443,0.270996,-4.155029
18:06:40,-0.991211,0.692627,-3.751465
18:06:40,-0.365723,0.795898,-1.535889
18:06:40,3.986816,-1.862793,1.842773
18:06:40,4.109863,-3.700684,0.85083
18:06:40,2.900879,-3.294678,-3.187256
18:06:40,7.121338,-5.227051,-1.138428
18:06:40,5.709473,-4.177979,0.766113
18:06:40,0.13208,-0.781982,-0.937012
18:06:40,0.115967,-0.310791,0.187012
18:06:40,1.546631,-0.145508,1.624512
18:06:40,1.178711,0.22583,0.655762
18:06:40,0.444824,0.45459,-0.295898
18:06:40,0.797852,0.776123,-0.195557
18:06:40,1.176758,0.953613,0.366211
18:06:40,0.696533,0.737061,0.34668
18:06:40,0.457275,0.558105,0.423828
18:06:40,0.492676,0.398438,0.543945
18:06:40,0.460938,0.183838,0.575439
18:06:40,0.593506,0.017334,0.545898
18:06:40,1.101563,-0.07666,0.604736
18:06:40,0.684814,-0.145752,0.150146
18:06:40,0.724365,-0.172607,0.493408
18:06:40,1.012695,-0.186523,0.65625
18:06:40,0.915527,-0.22998,0.479492
18:06:40,0.828369,-0.277588,0.436523
18:06:40,0.901855,-0.281738,0.466064
18:06:40,0.855957,-0.28125,0.44751
18:06:40,0.825439,-0.29248,0.525879
18:06:40,0.852051,-0.226318,0.485107
18:06:40,0.858398,-0.086182,0.381104
18:06:40,0.879639,0.010498,0.335938
18:06:40,0.835449,-0.001465,0.367676
18:06:40,0.799561,-0.010986,0.422363
18:06:40,0.785645,-0.032959,0.460449
18:06:40,0.768555,-0.10376,0.427002
18:06:40,0.809326,-0.175049,0.351318
18:06:40,0.919189,-0.230713,0.316406
18:06:40,1.005371,-0.313232,0.281982
18:06:40,1.042725,-0.406982,0.317383
18:06:40,0.943848,-0.368652,0.424316
18:06:40,0.72168,-0.23999,0.546631
18:06:40,0.996582,-0.161621,0.592041
18:06:40,1.365967,-0.120117,0.389648
18:06:40,0.944092,-0.168457,0.346924
18:06:40,0.859863,-0.232178,0.633057
18:06:40,0.847168,-0.320068,0.908203
18:06:40,0.755127,-0.270508,0.927734
18:06:40,0.466553,-0.122559,0.880615
18:06:40,0.653564,-0.38916,1.178467
18:06:40,0.282227,-0.512207,1.515137
18:06:40,0.054688,-0.924316,1.35498
18:06:40,0.140869,-0.850098,1.408691
18:06:40,0.090576,-0.298584,1.540283
18:06:40,0.311035,0.061768,0.945557
18:06:40,0.088135,0.387695,0.495361
18:06:40,0.378662,0.179688,0.096436
18:06:40,0.336426,-0.216064,0.502686
18:06:40,3.208984,-0.243652,0.915039
18:06:40,7.311768,0.405029,0.753906
18:06:40,7.999756,1.355713,-3.885498
18:06:40,7.999756,1.696777,-4.621094
18:06:40,4.211426,1.109375,-1.5896
18:06:40,1.059326,0.169922,0.262695
18:06:40,0.840576,-0.291992,1.009766
18:06:40,-0.26709,-0.166992,1.473633
18:06:40,-1.410889,0.130371,-0.334229
18:06:40,-1.951416,0.326904,-1.839355
18:06:40,-1.470703,0.334473,-0.395508
18:06:40,0.061035,0.349854,1.203613
18:06:40,1.610352,1.667236,1.044678
18:06:40,1.820801,2.810547,-0.581299
18:06:40,0.681885,1.991211,-1.700195
18:06:40,1.041992,1.421875,-0.655273
18:06:40,1.033447,0.727783,0.202637
18:06:40,0.682861,0.237305,0.202637
18:06:41,0.74707,0.087646,0.283691
18:06:41,0.989014,0.013916,0.247314
18:06:41,1.299805,-0.008789,0.137939
18:06:41,1.674805,-0.08252,0.106201
18:06:41,2.085449,-0.308105,0.077148
18:06:41,2.958984,-0.818604,-0.198975
18:06:41,2.561279,-0.452148,-0.858154
18:06:41,2.828857,-0.730469,-0.081543
18:06:41,2.508057,-0.636475,0.010498
18:06:41,2.657227,-0.268799,-0.450195
18:06:41,3.209717,-0.060059,-1.036377
18:06:41,3.134277,0.296631,-1.956543
18:06:41,2.616211,0.767578,-2.815918
18:06:41,1.601074,0.983887,-3.424805
18:06:41,1.124268,1.100342,-3.366699
18:06:41,0.851074,0.633545,-3.018555
18:06:41,0.963379,0.246582,-3.121338
18:06:41,0.671143,0.383301,-3.107422
