Time,Accel-X (g), Accel-Y (g), Accel-Z (g)
17:39:55,0.181396,0.006348,1.081787
17:39:55,0.083496,0.202881,0.772461
17:39:55,0.358643,0.283691,0.549072
17:39:55,0.703857,0.016113,0.697754
17:39:55,0.838135,-0.227295,0.664063
17:39:55,-1.599854,0.246338,1.69165
17:39:55,-0.516357,-0.306641,1.365723
17:39:55,1.610352,-0.559326,1.01123
17:39:55,1.734863,-0.125244,1.695068
17:39:55,1.611572,-0.265869,1.470459
17:39:55,1.929443,-1.041504,1.402588
17:39:55,1.977539,-1.561523,1.69458
17:39:55,1.666016,-1.327393,2.061035
17:39:55,1.462891,-0.345947,1.499756
17:39:55,2.263184,0.851318,0.701904
17:39:55,4.351074,0.524902,2.581055
17:39:55,4.14209,-0.75293,2.119141
17:39:55,1.790283,-0.809814,0.193848
17:39:55,0.992432,-0.518555,0.811035
17:39:55,0.193848,0.128174,0.716553
17:39:55,-0.546631,0.432617,0.172119
17:39:55,-0.799805,0.519775,0.362549
17:39:55,-0.774902,0.579834,0.902588
17:39:55,-0.612793,0.503174,0.951416
17:39:55,-0.026367,0.231201,0.828125
17:39:55,0.595703,-0.233154,0.966064
17:39:55,0.919434,-0.786621,0.924316
17:39:55,0.956787,-1.171875,0.69751
17:39:55,0.79541,-1.239014,0.629883
17:39:55,0.481445,-0.997559,0.732178
17:39:55,0.227783,-0.637695,0.747314
17:39:55,0.201416,-0.438232,0.697998
17:39:55,0.376709,-0.544189,0.680176
17:39:55,0.564941,-0.805908,0.699707
17:39:55,0.666992,-1.050293,0.759521
17:39:55,0.6604,-1.175293,0.796387
17:39:55,0.628174,-1.152832,0.804932
17:39:55,0.631592,-1.057373,0.788086
17:39:55,0.598877,-1.019531,0.694092
17:39:55,0.533691,-1.087891,0.560059
17:39:55,0.486816,-1.145752,0.4729
17:39:55,0.52417,-1.043457,0.496826
17:39:55,0.749023,-0.904297,0.724365
17:39:55,1.098145,-1.033203,1.118164
17:39:55,1.36377,-1.372803,1.394531
17:39:55,1.50415,-1.562744,1.424316
17:39:55,1.706055,-1.512207,1.35376
17:39:55,1.878174,-1.422852,1.17749
17:39:55,1.990479,-1.419189,1.057129
17:39:55,2.029785,-1.395508,0.87793
17:39:55,2.101318,-1.317139,0.626465
17:39:55,2.108398,-1.257568,0.32666
17:39:55,2.076416,-1.166992,0.034668
17:39:55,2.032471,-1.035889,-0.211426
17:39:55,1.989258,-0.830322,-0.468994
17:39:55,1.932129,-0.653564,-0.834473
17:39:55,1.86377,-0.624023,-1.333496
17:39:55,1.739746,-0.73999,-2.038818
17:39:55,1.660645,-1.047852,-2.990234
17:39:55,1.830078,-1.123535,-4.268311
17:39:55,2.14624,-0.783447,-4.917969
17:39:55,2.335449,-0.508789,-3.397217
17:39:55,1.579834,0.059326,-0.177002
17:39:55,1.21875,0.794189,1.506592
17:39:55,0.301514,-1.269531,4.316895
17:39:55,-1.295654,-2.182861,2.705322
17:39:55,-5.936768,-1.030518,-5.065918
17:39:55,-7.777588,0.151855,-0.339844
17:39:55,-1.840576,1.008789,5.378662
17:39:55,1.859375,1.297852,-0.134277
17:39:55,3.689697,2.452881,-0.537598
17:39:55,6.705566,2.497803,-0.374023
17:39:55,4.426758,-0.676514,-3.04541
17:39:55,3.521973,-5.13623,-1.376709
17:39:55,2.627197,-7.439941,0.218262
17:39:55,-0.062256,-2.804199,-0.858398
17:39:55,0.060303,-1.106445,0.355469
17:39:55,0.124756,-0.106689,1.007568
17:39:55,-0.186768,0.719238,0.62915
17:39:55,-0.34082,1.21875,0.09375
17:39:55,-0.346191,1.487305,0.482178
17:39:55,-0.390137,1.230225,0.876465
17:39:55,-0.294434,0.599365,0.834229
17:39:55,0.011475,0.051025,0.678223
17:39:55,0.481934,-0.461426,0.717529
17:39:55,0.908691,-1.079346,0.847168
17:39:55,1.102295,-1.485352,0.720215
17:39:55,1.001953,-1.420166,0.531982
17:39:55,0.70752,-0.94873,0.633545
17:39:55,0.456299,-0.378174,0.841309
17:39:55,0.270508,0.070801,0.810547
17:39:55,0.186279,0.313965,0.665283
17:39:55,0.296143,0.290527,0.643066
17:39:55,0.506104,-0.000977,0.699951
17:39:55,0.641846,-0.39502,0.730225
17:39:55,0.671631,-0.70874,0.740234
17:39:55,0.64502,-0.805176,0.770508
17:39:55,0.564697,-0.61499,0.774902
17:39:55,0.490967,-0.304443,0.734131
17:39:55,0.471191,-0.107666,0.706787
17:39:56,0.473389,-0.098389,0.704834
17:39:56,0.517578,-0.244141,0.724609
17:39:56,0.556885,-0.422363,0.740723
17:39:56,0.569336,-0.520752,0.752686
17:39:56,0.574707,-0.460938,0.747314
17:39:56,0.537842,-0.327637,0.72998
17:39:56,0.514404,-0.23584,0.717041
17:39:56,0.531982,-0.241211,0.718506
17:39:56,0.532959,-0.337158,0.720459
17:39:56,0.562988,-0.408203,0.750488
17:39:56,0.5625,-0.422363,0.75
17:39:56,0.562988,-0.36499,0.735107
17:39:56,0.549072,-0.302734,0.735352
17:39:56,0.53125,-0.277832,0.718994
17:39:56,0.543945,-0.317139,0.731445
17:39:56,0.545166,-0.354736,0.734619
17:39:56,0.558838,-0.362549,0.734375
17:39:56,0.563232,-0.349854,0.734375
17:39:56,0.560059,-0.333984,0.736572
17:39:56,0.572754,-0.316406,0.723877
17:39:56,0.583984,-0.306396,0.715088
17:39:56,0.559326,-0.331055,0.730225
17:39:56,0.545654,-0.344727,0.724854
17:39:56,0.53833,-0.354004,0.725098
17:39:56,0.529053,-0.357422,0.74585
17:39:56,0.540039,-0.320068,0.689209
17:39:56,0.489746,-0.336182,0.678467
17:39:56,0.475098,-0.376465,0.744141
17:39:56,0.527588,-0.367676,0.738525
17:39:56,0.513672,-0.360352,0.755127
17:39:56,0.543945,-0.29248,0.772949
17:39:56,0.480469,-0.251465,0.813965
17:39:56,0.469238,-0.227539,0.861084
17:39:56,0.080811,0.082275,1.05249
17:39:56,-1.153564,0.841309,1.394531
17:39:56,-0.128662,-0.061523,0.47583
17:39:56,0.660889,-0.408447,0.64502
17:39:56,-0.115234,-0.063232,1.410889
17:39:56,0.116943,-0.426758,0.780273
17:39:56,1.273682,-0.974854,1.243164
17:39:56,0.831787,-0.212891,1.511475
17:39:56,2.092285,-0.340088,1.605225
17:39:56,2.036865,-0.589111,1.6521
17:39:56,1.160645,-0.926025,1.066162
17:39:56,1.240479,-1.196777,1.477051
17:39:56,1.645752,-1.04248,2.070801
17:39:56,0.913818,-0.652588,1.727051
17:39:56,1.312744,0.119629,0.435303
17:39:56,4.73584,-0.625244,2.716064
17:39:56,4.853516,-1.580811,2.355469
17:39:56,2.599365,-1.501221,0.307617
17:39:56,1.490723,-0.928467,0.637451
17:39:56,0.553467,-0.162598,0.797119
17:39:56,-0.456543,0.402344,-0.028564
17:39:56,-0.932129,0.740967,-0.096191
17:39:56,-0.938965,1.108398,0.592285
17:39:56,-0.724365,1.29834,0.907471
17:39:56,-0.312256,1.114014,0.771484
17:39:56,0.343994,0.583984,0.832275
17:39:56,0.851074,-0.020264,0.978516
17:39:56,1.072998,-0.725342,0.919922
17:39:56,1.109375,-1.411133,0.803467
17:39:56,0.952881,-1.60791,0.651611
17:39:56,0.689209,-1.275635,0.599121
17:39:56,0.414795,-0.766846,0.70874
17:39:56,0.291504,-0.40625,0.667969
17:39:56,0.365967,-0.282471,0.641602
17:39:56,0.573975,-0.49292,0.717041
17:39:56,0.723633,-0.890381,0.77832
17:39:56,0.82251,-1.189697,0.782471
17:39:56,0.82251,-1.330078,0.774414
17:39:56,0.759277,-1.240967,0.714111
17:39:56,0.641846,-1.080078,0.582275
17:39:56,0.525146,-0.998535,0.466309
17:39:56,0.510254,-0.950684,0.428955
17:39:56,0.696533,-0.880371,0.560547
17:39:56,0.98999,-1.000244,0.942139
17:39:56,1.310547,-1.351074,1.384766
17:39:56,1.69458,-1.564209,1.626221
17:39:56,2.091553,-1.501465,1.560303
17:39:56,2.390625,-1.393311,1.323486
17:39:56,2.496094,-1.363037,1.008057
17:39:56,2.445313,-1.346191,0.625
17:39:56,2.400391,-1.311768,0.249268
17:39:56,2.322021,-1.299316,-0.080566
17:39:56,2.14917,-1.25415,-0.471436
17:39:56,2.049805,-1.038574,-0.89502
17:39:56,1.999268,-0.701416,-1.24707
17:39:56,1.867432,-0.484619,-1.805176
17:39:56,1.851074,-0.637695,-2.473633
17:39:56,2.066406,-1.130371,-3.270508
17:39:56,1.967773,-1.341553,-4.603516
17:39:56,1.862793,-1.090088,-4.777344
17:39:56,1.625244,-0.225586,-1.320557
17:39:56,1.155029,0.455566,-0.079834
17:39:56,0.401611,0.118164,2.394043
17:39:56,-1.381104,-0.466309,0.396973
17:39:56,-6.163086,-0.558838,-3.862549
17:39:56,-6.317871,-0.106201,3.948486
17:39:56,-0.627686,0.293213,3.370605
17:39:57,2.272949,1.550293,2.484863
17:39:57,5.390137,2.480713,0.942139
17:39:57,4.842773,1.585449,-2.695557
17:39:57,5.947266,-5.146484,-3.354736
